"Order ID",SKU,ASIN,Title,"Purchase Date","Last Update Date","Order Status",Fullfillment,"Item Status",Quantity,"Item Price","Item Tax","Shipping Price","Shipping Tax","Gift Price","Gift Tax","Item Promotional Discount","Shipping Promotional Discount","Promotional ID","Shipping City","Shipping State","Shipping Post","Shipping country"
111-8607275-3801045,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 06-13-22","2018-12-12 06-42-36",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Costa Mesa",CA,92626,US
114-3761395-0929825,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 06-10-39","2018-12-12 06-10-52",Pending,Amazon,Unshipped,1,20.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Kenai,Alaska,99611-8642,US
114-0903129-1389839,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 06-08-17","2018-12-12 11-48-55",Shipped,Amazon,Shipped,1,21.75,1.91,0.00,0.00,0.00,0.00,0.00,0.00,,Spokane,Washington,99203,US
114-1903984-7343435,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 05-59-20","2018-12-12 05-59-28",Pending,Amazon,Unshipped,1,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0","SHERMAN OAKS",CA,91401-6017,US
111-3385627-9825056,GAS-HOG17700-8.76-112818-5.89,B07H3RLYPL,"Hogue 17700 HandAll Beavertail Grip Sleeve, Ruger Security 9, Black","2018-12-12 05-57-38","2018-12-12 09-59-37",Pending,Amazon,Unshipped,1,14.50,1.16,0.00,0.00,0.00,0.00,0.00,0.00,,Wilbur,WA,99185,US
111-8831669-4427449,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 05-46-09","2018-12-12 07-26-45",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"SPANISH FORK",UT,84660-3200,US
113-1042358-7878642,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 05-43-57","2018-12-12 05-44-09",Pending,Amazon,Unshipped,1,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Sellersville,PA,18960,US
114-0957299-9357001,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 05-43-44","2018-12-12 05-43-51",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"ALISO VIEJO",CA,92656-8022,US
111-5708763-9581009,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 05-37-29","2018-12-12 05-37-35",Pending,Amazon,Unshipped,1,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,SNOHOMISH,WA,98290-7349,US
114-6151039-6572203,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 05-34-27","2018-12-12 05-37-39",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,SOLON,IA,52333-9791,US
111-6660322-7850626,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 05-16-26","2018-12-12 05-16-32",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,CAMPBELL,CA,95008-1800,US
113-1762228-2443444,RSR-TDVTMFP-00643-10.4-091218-8.42,B01MS09QYN,"Tango Down Vickers Base Pad Fits Glock 43/Caliber 9mm","2018-12-12 05-14-11","2018-12-12 05-43-25",Pending,Amazon,Unshipped,1,17.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Evansville,WY,82636,US
111-0489805-5538629,LMP-J03200-0-101818-4.93,B00Q2QIM7Y,"KONG Squeezz Ball - Colors May Vary - X-Large","2018-12-12 05-03-19","2018-12-12 05-03-23",Pending,Amazon,Unshipped,1,19.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,MILWAUKIE,OR,97222-7936,US
111-3724951-9302613,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 04-54-44","2018-12-12 04-54-51",Pending,Amazon,Unshipped,1,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Seven Bays",WA,99122,US
112-0384759-4843469,LMP-J51111-0-081618-5.10,B01IF4QV8W,"Zoom Groom","2018-12-12 04-50-25","2018-12-12 04-50-32",Pending,Amazon,Unshipped,1,11.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0","ARLINGTON HEIGHTS",IL,60004-7139,US
112-7107221-7171465,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 04-48-40","2018-12-12 10-52-57",Pending,Amazon,Unshipped,1,20.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,ASPEN,CO,81611-2179,US
112-7107221-7171465,FO-VS0D-4KOY,B01GAVLCGI,"LiveFresh Stainless Steel Heavy Duty Fine Mesh 13"" Splatter Screen with Resting Feet and Handle Grip","2018-12-12 04-48-40","2018-12-12 10-52-57",Pending,Amazon,Shipped,1,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,ASPEN,CO,81611-2179,US
112-7107221-7171465,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 04-48-40","2018-12-12 10-52-57",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,ASPEN,CO,81611-2179,US
113-4913342-3061805,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 04-39-36","2018-12-12 10-30-47",Shipped,Amazon,Shipped,1,15.57,0.00,3.99,0.00,0.00,0.00,0.00,3.99,,BREA,CA,92821-4330,US
113-7288527-5388225,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 04-35-50","2018-12-12 05-05-03",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,VISALIA,CA,93277,US
114-9481344-0404219,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 04-32-08","2018-12-12 04-32-14",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,NAUGATUCK,CT,06770-3803,US
112-9501552-5298614,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 04-29-15","2018-12-12 05-35-26",Pending,Amazon,Unshipped,1,20.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Jersey City","New Jersey",07307,US
114-4081956-4912246,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 04-24-35","2018-12-12 04-24-41",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,MONROE,GA,30656-6444,US
114-8038382-8725021,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 04-24-25","2018-12-12 07-47-52",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,AMARILLO,TEXAS,79118-7800,US
111-3334390-8389809,1A-FJZB-LCK3,B0166PC46A,"LiveFresh Premium Grease Splatter Screen for Frying Pan 13"" - Stops 99% of Hot Oil Splash - Protects Skin from Burns - Splatter Guard for Cooking - Ir","2018-12-12 04-21-19","2018-12-12 06-44-46",Pending,Amazon,Unshipped,1,11.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,MADISON,WI,53705-3743,US
113-8047432-3533811,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 04-21-12","2018-12-12 04-23-47",Pending,Amazon,Unshipped,1,20.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Marysville,CA,95901,US
114-7639099-9365000,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 04-18-01","2018-12-12 04-20-24",Pending,Amazon,Unshipped,1,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0",Cochranton,PA,16314-7719,US
114-9002990-1469050,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 04-12-33","2018-12-12 05-16-28",Pending,Amazon,Unshipped,1,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,SEATTLE,WA,98108-5397,US
111-3698393-4123405,BRK-STA02892OD-0-051718-21,B07B6D8W9R,"Stanley STA02892OD-BRK Master Flask OD","2018-12-12 04-10-17","2018-12-12 04-12-38",Pending,Amazon,Unshipped,1,34.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,STAMFORD,CT,06903-4618,US
113-8785463-6477037,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 04-00-08","2018-12-12 04-02-01",Pending,Amazon,Unshipped,1,13.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"DELRAY BEACH",FL,33483-6310,US
111-8040767-8529046,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 03-54-26","2018-12-12 03-54-32",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"santa monica",CA,90405-4012,US
112-6681304-1005826,BRK-RKEP865B-34.95-091718-19.48,B07F1Z8S8S,"Ruike P865-B Liner Lock Stainless Steel Folding Knife","2018-12-12 03-44-17","2018-12-12 03-44-23",Pending,Amazon,Unshipped,1,34.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"San Jose",CA,95133-2046,US
112-1933726-3597828,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 03-37-06","2018-12-12 03-37-12",Pending,Amazon,Unshipped,1,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"CULVER CITY",CA,90232-3464,US
111-9114859-0789026,LF17CC502YD-112017-SL,B075SLR878,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50, 2.5 Yards (22.5 sq. feet) - Wa","2018-12-12 03-30-06","2018-12-12 07-11-22",Pending,Amazon,Unshipped,1,5.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Williamsburg,VA,23188,US
111-3518848-8585010,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 03-29-58","2018-12-12 09-16-44",Shipped,Amazon,Shipped,1,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"SAN ANTONIO",TX,78250-3515,US
113-7353665-1158663,RSR-TDVTMFP-00643-10.4-091218-8.42,B01MS09QYN,"Tango Down Vickers Base Pad Fits Glock 43/Caliber 9mm","2018-12-12 03-29-56","2018-12-12 10-37-14",Shipped,Amazon,Shipped,1,17.80,0.00,2.00,0.00,0.00,0.00,0.00,2.00,,Tulare,CA,93274-6229,US
114-1045589-9269841,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 03-29-23","2018-12-12 03-29-28",Pending,Amazon,Unshipped,1,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0",HOLLYWOOD,FL,33020-6446,US
113-7238640-1418623,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 03-24-17","2018-12-12 03-24-23",Pending,Amazon,Unshipped,1,20.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0",HUDSONVILLE,MI,49426-9600,US
113-8031504-9390651,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 03-20-37","2018-12-12 03-25-08",Pending,Amazon,Unshipped,1,20.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"UNIVERSITY PLACE",WA,98466-2310,US
111-3935034-4379452,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 03-20-00","2018-12-12 09-30-03",Shipped,Amazon,Shipped,1,20.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"SAN DIEGO",CA,92126-7062,US
112-4226556-4353869,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 03-19-12","2018-12-12 09-26-41",Pending,Amazon,Unshipped,1,20.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"KEY WEST",FL,33040-5319,US
111-0858739-2233066,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 03-15-28","2018-12-12 03-22-45",Pending,Amazon,Unshipped,1,20.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Menifee,ca,92585,US
114-5447144-4431460,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 03-08-25","2018-12-12 03-08-32",Pending,Amazon,Unshipped,1,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Menominee,Michigan,49858,US
114-5880039-8023413,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 03-03-28","2018-12-12 03-03-32",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Raleigh,NC,27613-8318,US
114-8523878-6865064,LMP-PNP5161-11.03-080318-5.51,B000HE8IEO,"Nature's Miracle Just for Cats Orange Oxy Stain and Odor Remover, 24-Ounce (308139)","2018-12-12 02-58-13","2018-12-12 02-58-17",Pending,Amazon,Unshipped,1,15.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"WEST HILLS",CA,91304-4514,US
