"Order ID","Merchant Order ID",SKU,ASIN,Title,"Purchase Date","Last Update Date","Order Status",Fullfillment,"Item Status",Quantity,"Item Price","Item Tax","Shipping Price","Shipping Tax","Gift Price","Gift Tax","Item Promotional Discount","Shipping Promotional Discount","Promotional ID","Shipping City","Shipping State","Shipping Post","Shipping country"
111-8541658-3172254,111-8541658-3172254,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,MCHENRY,IL,60050-5454,US
111-1871749-3373863,111-1871749-3373863,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,,FIELDING,UT,84311-4100,US
113-9920007-4768240,113-9920007-4768240,THD-NW0458-0-120418-8.64,B008OXVV6C,"Nature's Way Feverfew Leaves 380 mg 180 Capsules",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,22.87,,,,,,,,"US Core Free Shipping Promotion A3JU1FCINF5SD0",LUMBERTON,NC,28359-1485,US
114-6527775-5001851,114-6527775-5001851,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,,ATLANTA,GA,30309-3503,US
111-5202286-0290602,111-5202286-0290602,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,19.99,,,,,,,,,EDENTON,NC,27932-1946,US
114-0565568-0549840,114-0565568-0549840,RSR-VTX5145-BK-44.95-081518-28.15,B01J4ISSU2,"Vertx Large Organizational Pouch Black",2018-12-30,2018-12-31,Shipped,Amazon,Shipped,1.0,44.95,,,,,,,,,WADDELL,AZ,85355-7513,US
114-5696068-3205048,114-5696068-3205048,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,CUMBERLAND,RI,02864-3239,US
113-0701811-8253814,113-0701811-8253814,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,20.75,,,,,,,,,LYNNFIELD,MA,01940-1413,US
111-5982663-9405841,111-5982663-9405841,LF17CC505YD-112017-SL,B075TD8FYD,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50 5.5 Yards (49.5sq feet) - Wash",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,7.97,,,,,,,,,BROOKLYN,NY,11201-3034,US
112-5086511-3539455,112-5086511-3539455,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,Milwaukee,WI,53221-4418,US
113-2516320-7986603,113-2516320-7986603,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,"US Core Free Shipping Promotion A3JU1FCINF5SD0",BRONX,NY,10456-1787,US
111-7854016-5440224,111-7854016-5440224,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,,GAINESVILLE,FL,32607-2524,US
